frame,laplacian,tenengrad,fft,is_blurry
747,557.68,12.04,2.81,True
748,556.64,12.00,2.81,True
749,551.94,11.98,2.80,True
750,562.61,12.00,2.81,True
751,556.54,11.97,2.80,True
752,544.51,11.95,2.79,True
753,532.31,11.86,2.77,True
754,544.12,11.90,2.77,True
755,543.85,11.90,2.78,True
756,533.11,11.89,2.80,True
757,535.76,11.92,2.80,True
758,534.71,11.88,2.79,True
759,530.30,11.86,2.78,True
760,539.73,11.90,2.80,True
761,534.00,11.85,2.79,True
762,548.32,11.89,2.80,True
763,535.80,11.81,2.78,True
764,548.31,11.86,2.79,True
765,548.27,11.87,2.79,True
766,547.49,11.89,2.81,True
767,534.51,11.94,2.81,True
768,547.94,12.16,2.84,True
769,549.25,12.37,2.87,True
770,548.58,12.54,2.90,True
771,556.35,12.75,2.92,True
772,557.68,12.89,2.94,True
773,552.73,12.87,2.93,True
774,555.78,12.44,2.90,True
775,549.62,12.41,2.89,True
776,536.98,12.39,2.88,True
777,524.56,12.29,2.86,True
778,536.22,12.32,2.86,True
779,535.67,12.32,2.86,True
780,530.84,12.30,2.87,True
781,534.75,12.38,2.87,True
782,535.13,12.49,2.89,True
783,531.88,12.65,2.90,True
784,544.96,12.89,2.94,True
785,543.13,13.00,2.95,True
786,557.75,13.06,2.96,True
787,543.90,12.94,2.94,True
788,556.52,12.98,2.93,True
789,555.39,12.95,2.93,True
790,576.50,13.57,3.05,True
791,561.43,13.86,3.11,True
792,564.48,14.40,3.22,True
793,564.74,14.75,3.31,True
794,582.11,15.38,3.44,True
795,585.78,15.54,3.46,True
796,585.18,15.63,3.48,True
797,580.82,15.73,3.49,True
798,591.67,15.74,3.51,True
799,585.80,15.70,3.49,True
800,574.21,15.74,3.47,True
801,562.80,15.67,3.44,True
802,575.18,15.70,3.44,True
803,574.92,15.66,3.43,True
804,570.24,15.54,3.41,True
805,573.15,15.47,3.38,True
806,571.52,15.31,3.34,True
807,567.28,15.17,3.31,True
808,577.25,15.12,3.30,True
809,571.20,14.95,3.26,True
810,558.96,13.90,3.12,True
811,546.29,13.81,3.10,True
812,559.10,13.88,3.11,True
813,558.73,13.88,3.10,True
814,560.37,13.87,3.12,True
815,546.26,13.78,3.09,True
816,558.71,13.83,3.09,True
817,558.52,13.83,3.09,True
818,553.91,13.81,3.09,True
819,558.22,13.84,3.09,True
820,557.16,13.81,3.09,True
821,552.49,13.79,3.07,True
822,563.38,13.81,3.08,True
823,557.49,13.77,3.07,True
824,545.27,13.74,3.06,True
825,533.18,13.64,3.03,True
826,545.09,13.68,3.04,True
827,545.20,13.64,3.03,True
828,538.25,13.00,2.94,True
829,541.20,13.03,2.94,True
830,540.75,13.00,2.94,True
831,536.69,12.98,2.94,True
832,546.79,13.06,2.96,True
833,541.32,13.02,2.95,True
834,556.52,13.10,2.96,True
835,543.95,13.05,2.94,True
836,556.78,13.12,2.95,True
837,557.15,13.14,2.95,True
838,554.37,13.15,2.95,True
839,540.73,13.09,2.93,True
840,553.25,13.13,2.94,True
841,553.86,13.13,2.94,True
842,549.23,13.09,2.94,True
843,553.35,13.13,2.94,True
844,552.31,13.10,2.94,True
845,547.58,13.09,2.93,True
846,556.78,12.75,2.90,True
847,550.65,12.71,2.89,True
